tweet_id,created_at,text,lang,author_id,username,name,user_location,user_verified,user_followers,user_tweet_count,place_id,place_full_name,place_country,place_country_code,place_type,retweet_count,reply_count,like_count,quote_count,n_hashtags,n_mentions,n_urls,query_labels,likely_spain,clean_text,clean_len,n_words,hashtag_ratio,has_strong_fraud,has_money,is_soft_politics,semantically_relevant,bertopic_id,bertopic_keywords,predicted_label,confidence_score,predicted_category,is_relevant,predicted_category_original,correccion_aplicada
2006262798419124544,2025-12-31T07:15:00.000Z,"🍾 Con el nuevo año, seguro que recibes decenas de #SMS en tu móvil 📱

¡Cuidado! Alguno de ellos puede ser #Smishing

👉Aprende a cómo esquivarlo y mantenerte a salvo.

🔗https://t.co/UDL3Vg0AWh @GVAhisenda https://t.co/tbyHlsvskJ",es,190566425,GVATalaia,Talaia,Valencia,False,7186,16015,,,,,,0,0,0,0,2,1,2,phishing,True,"🍾 Con el nuevo año, seguro que recibes decenas de #SMS en tu móvil 📱 ¡Cuidado! Alguno de ellos puede ser #Smishing 👉Aprende a cómo esquivarlo y mantenerte a salvo. 🔗",165,31,0.064516129032258,True,False,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.6566684246063232,phishing_identity,True,phishing_identity,
2006073946047918121,2025-12-30T18:44:34.000Z,"Hoy he caído como una monguer en un smishing de libro. Por suerte, reaccioné rápido y lo solucioné inmediatamente con mi banco, pero sigo sin entender cómo pude picar.
Vayan con ojito y no se fíen de ningún mensaje con urls. Ni aunque les pueda cuadrar.",es,835921226925236225,AN_Bdn,AN,"Badalona, España",False,3337,32190,,,,,,1,3,11,6,0,0,0,phishing,True,"Hoy he caído como una monguer en un smishing de libro. Por suerte, reaccioné rápido y lo solucioné inmediatamente con mi banco, pero sigo sin entender cómo pude picar. Vayan con ojito y no se fíen de ningún mensaje con urls. Ni aunque les pueda cuadrar.",253,46,0.0,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.4785681962966919,phishing_identity,True,phishing_identity,
2006045180403601749,2025-12-30T16:50:16.000Z,"La Guardia Civil de Palencia ha investigado a dos individuos por estafar a través del método smishing en Barruelo 

https://t.co/GAl8iQWp48 https://t.co/KCKVKvZCvF",es,2573641800,Fiel_En_Deber,Portal Benemerito,España,False,5502,71427,,,,,,0,0,2,0,0,0,2,phishing,True,La Guardia Civil de Palencia ha investigado a dos individuos por estafar a través del método smishing en Barruelo,113,19,0.0,True,False,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.8353376984596252,phishing_identity,True,phishing_identity,
2005982195769606597,2025-12-30T12:39:59.000Z,"Las #estafas basadas en ingeniería social son cada vez más frecuentes. El #ciberdelincuente hace uso del factor humano (#phishing dirigido, fraude del CEO, vishing,…) para generar pérdidas económicas graves y reputacionales. La seguridad empieza por la #formación de tu equipo.",es,2005155736045977602,gg_penalistas,Guerrero Gutierrez Abogados,"Barcelona, España",False,5,5,,,,,,1,0,1,0,4,0,0,phishing,True,"Las #estafas basadas en ingeniería social son cada vez más frecuentes. El #ciberdelincuente hace uso del factor humano (#phishing dirigido, fraude del CEO, vishing,…) para generar pérdidas económicas graves y reputacionales. La seguridad empieza por la #formación de tu equipo.",277,40,0.1,True,False,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.6868765354156494,phishing_identity,True,phishing_identity,
2005968363370004755,2025-12-30T11:45:01.000Z,Estafan 64.000 euros mediante el método 'smishing' en #Barruelo de Santullán https://t.co/H0N7ezcGrj,es,953983139248001025,ElNorte_PA,El Norte. Palencia,"Palencia, España",False,3277,19873,,,,,,0,0,0,0,1,0,1,phishing,True,Estafan 64.000 euros mediante el método 'smishing' en #Barruelo de Santullán,76,11,0.0909090909090909,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.439944714307785,phishing_identity,True,phishing_identity,
2005965928811335956,2025-12-30T11:35:21.000Z,Investigados por estafar más de 64.000 euros mediante el método 'smishing' en Barruelo de Santullán (Palencia) https://t.co/57J4Yq0dJL,es,2943945015,MataAjuria,Raúl Mata Ajuria,Valladolid,False,1408,75909,,,,,,0,0,0,0,0,0,1,phishing,True,Investigados por estafar más de 64.000 euros mediante el método 'smishing' en Barruelo de Santullán (Palencia),110,16,0.0,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.5043942928314209,phishing_identity,True,phishing_identity,
2005949242154557471,2025-12-30T10:29:02.000Z,"💰 Investigados por estafar más de 64.000 euros mediante el método 'smishing' en Barruelo de Santullán (Palencia). 

 📱 Los supuestos autores retiraron 21.000 euros de la cuenta de la víctima y solicitaron un crédito de 43.300 euros tras engañarla... https://t.co/08qrs8A6D4",es,1354141648226308097,larazon_cyl,La Razón Castilla y León,"Castilla y León, España",False,1204,52127,,,,,,0,0,0,0,0,0,1,phishing,True,💰 Investigados por estafar más de 64.000 euros mediante el método 'smishing' en Barruelo de Santullán (Palencia). 📱 Los supuestos autores retiraron 21.000 euros de la cuenta de la víctima y solicitaron un crédito de 43.300 euros tras engañarla...,246,39,0.0,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.4944550693035126,phishing_identity,True,phishing_identity,
2005918623433441755,2025-12-30T08:27:22.000Z,Golpe al ‘smishing’ en Palencia: dos investigados tras estafar más de 64.000 euros https://t.co/Fy2lcRlOc8 a través de @SERPalencia @gc_palencia,es,399553270,SERpalencia,Cadena SER Palencia,Palencia - Castilla y León,False,8612,66904,,,,,,0,0,0,0,0,2,1,phishing,True,Golpe al ‘smishing’ en Palencia: dos investigados tras estafar más de 64.000 euros a través de,94,16,0.0,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.4344333410263061,phishing_identity,True,phishing_identity,
2005904436695318965,2025-12-30T07:31:00.000Z,¿Te han realizado en alguna ocasión una llamada telefónica que te dicen son de un banco o de una empresa de recursos humanos y has desconfiado? Pues has hecho bien. ¿Sabes qué es el Vishing? https://t.co/jLQ5C4mUeL,es,563016891,reclamador,reclamador.es,España,False,5641,25167,,,,,,0,0,1,0,0,0,1,phishing,True,¿Te han realizado en alguna ocasión una llamada telefónica que te dicen son de un banco o de una empresa de recursos humanos y has desconfiado? Pues has hecho bien. ¿Sabes qué es el Vishing?,190,35,0.0,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",phishing or identity theft scam,0.4407799839973449,phishing_identity,True,phishing_identity,
2005892487110438927,2025-12-30T06:43:31.000Z,"El fraude del 'hijo en apuros', las suplantaciones y el secuestro silencioso de cuentas lideran las estafas en WhatsApp - {DF} DiarioFinanciero https://t.co/eGCP1fVCm9",es,1225865007134576642,ManuSan79985083,Manu Santiago,"Jerez - Barcelona, España 🇪🇸",False,4005,222670,,,,,,0,0,0,0,0,0,1,phishing,True,"El fraude del 'hijo en apuros', las suplantaciones y el secuestro silencioso de cuentas lideran las estafas en WhatsApp - {DF} DiarioFinanciero",143,22,0.0,True,False,False,True,1,"de, en, fraude, la, hijo, apuros, una, del",insurance fraud,0.2765592634677887,phishing_identity,True,insurance,hijo_en_apuros: insurance -> phishing_identity
2005747030879031802,2025-12-29T21:05:31.000Z,"Este era el modus operandi de un nuevo caso de estafa. Se dedicaban a pedir dinero a personas mayores mediante el método del ""hijo en apuros"" y llegaron a estafar hasta 176.000 euros a una mujer en Santa Cruz de Tenerife.
#TN2Canarias
https://t.co/kODGGfWHUA https://t.co/tx39nGHNe9",es,1641420064753610752,RTVCCanarias,Televisión Canaria Noticias,Islas Canarias,False,6346,99771,,,,,,0,0,0,0,1,0,2,phishing,True,"Este era el modus operandi de un nuevo caso de estafa. Se dedicaban a pedir dinero a personas mayores mediante el método del ""hijo en apuros"" y llegaron a estafar hasta 176.000 euros a una mujer en Santa Cruz de Tenerife. #TN2Canarias",234,42,0.0238095238095238,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",bank fraud or unauthorized wire transfer,0.2432949841022491,bank_wire,True,bank_wire,
2005746288395014157,2025-12-29T21:02:34.000Z,"Este era el modus operandi de un nuevo caso de estafa. Se dedicaban a pedir dinero a personas mayores mediante el método del ""hijo en apuros"" y llegaron a estafar hasta 176.000 euros a una mujer en Santa Cruz de Tenerife.
#TN2Canarias
https://t.co/DwqLUIH1iG https://t.co/gm69W25Jre",es,49998704,RTVCes,RTVC,"Canarias, España",False,119306,270298,,,,,,0,0,0,0,1,0,2,phishing,True,"Este era el modus operandi de un nuevo caso de estafa. Se dedicaban a pedir dinero a personas mayores mediante el método del ""hijo en apuros"" y llegaron a estafar hasta 176.000 euros a una mujer en Santa Cruz de Tenerife. #TN2Canarias",234,42,0.0238095238095238,True,True,False,True,0,"de, en, la, el, que, por, una, estafa",bank fraud or unauthorized wire transfer,0.2432949841022491,bank_wire,True,bank_wire,
